,企業名,キャッチコピー,ステータス,初年度年収
0,株式会社ティーネットジャパン | ★40期以上黒字の安定性/大手ベンダー・エンドユーザ企業直取引,【ITエンジニア】★年休124日★テレワーク推奨★転職回数不問！ 正社員,正社員,300万円～700万円
1,株式会社ベアフォスターホールディングス | ★残業月平均10H ★年間休日130日 ★土日祝休み ★賞与年2回,★未経験歓迎【SE・PG】3ヶ月の充実研修でエンジニアデビュー！ 正社員,正社員,300万円～750万円
2,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,【ITエンジニア(開発/インフラ) 】★年休123日＆残業月15h程度★ 正社員,正社員,400万円～800万円
3,株式会社ユークス | 【東証JASDAQ上場】★PS4・Switch・Xboxなど★ARコンテンツも,【ゲームプログラマー（ディレクター候補）】★100%自社内開発 正社員,正社員,420万円～700万円
4,アベールソリューションズ株式会社 | ◆在宅勤務アリ◆内定まで全工程「非対面」で完結できます！,成長事業でマネジメント×コミュニケーション能力を磨く【PMO】 正社員,正社員,500万円～896万円
5,株式会社夢テクノロジー | 【大阪府緊急雇用対策に賛同】年休120日以上！残業少なめ,未経験から手に職を付ける【プログラマー】★異業種出身活躍中！ 正社員,正社員,250万円～400万円
6,"株式会社日本技研プロフェッショナルアーキテクト | 3年間は毎年昇給33,000円！4年経過で月給40万も可能！",未経験から3年で月給30万が確定【Webサイト制作】◇研修3ヶ月 正社員,正社員,300万円～500万円
7,株式会社テクノプロ | テクノプロ・エンジニアリング社 ―◇業界売上NO.1グループ企業,【ITエンジニア(アプリ開発・インフラ保守運用)】★未経験歓迎 正社員,正社員,350万円～600万円
8,株式会社クレディセゾン | 【東証一部上場】テレワーク有/フルフレックス勤務/賞与年7ヶ月,CX・EXに貢献し自社事業の魅力創出する【自社プログラマー】 正社員,正社員,600万円～1000万円
9,株式会社KSEシステムクリエイト | 年休128日*土日祝休み*残業少*WEB面接＆テレワークも実施中！,研修4ヶ月後に安心デビュー！【WEBエンジニア】★未経験大歓迎 正社員,正社員,250万円～500万円
10,株式会社コンフィデンス | 【ゲーム案件＆取引先150社以上】経験者の92.6％が収入UPを実現,取引先の8割が大手・有名企業!【ゲームクリエイター（総合職）】 正社員,正社員,300万円～700万円
11,ケーイングジャパン株式会社 | ◎資格取得支援制度など、将来を見据えた手厚いサポートあり！,育成枠募集！【電気工事スタッフ】★転勤なし★20代活躍中 正社員,正社員,
12,株式会社Ｒ－ＴＧエージェント | <コロナ禍でも業績好調の成長企業>★経験に見合った待遇でお迎え,自社開発や受託案件のコーディングの主力！【プログラマー】 正社員,正社員,400万円～700万円
13,フォーザウィン株式会社 | 未経験からじっくり知識やスキルを身に付け成長★完全週休2日,【ゲーム・アプリ等のテスター】◆残業ほぼなし◆年間休日125日 正社員,正社員,250万円～550万円
14,"株式会社キャリー・オン | 〈未経験から好きな街の""支店長""を目指せる！〉★賞与年2回",若手大募集★年休120日~★月給30万円可【メンテナンススタッフ】 正社員,正社員,350万円～500万円
15,"SGビジネス株式会社 | 【200％売上UPの成長企業】★在宅手当月3,000円★残業月平均10h",生活基盤に安心を！リモート90％／元請・1次請【ITエンジニア】 正社員,正社員,350万円～630万円
16,株式会社大成社 | ★話だけ聞きたいでもOK！お気軽にご応募下さい！★副業もOK,案件単価の75%を給与に還元【ITエンジニア（開発・インフラ）】 正社員,正社員,430万円～1100万円
17,株式会社SHIFT | 【東証一部上場】10期連続150％の売上高成長率を継続中！,【システム導入サポート】年収400万～／IT未経験OK！ 正社員,正社員,400万円～600万円
18,グルーコードシステムズ株式会社 | ★コロナでも積極採用 ★プライム9割 ★内定までWeb面接可,★自社内・SES・時短・リモートなど多様な働き方【エンジニア】 正社員,正社員,300万円～1500万円
19,株式会社ライズイノベーター | *年休134日*土日祝休み*面接1回*開発経験1年以上の方は全員面接,＼前職給与保証／【ITエンジニア】月給30万円～*残業は極力ゼロ 正社員,正社員,400万円～1000万円
20,株式会社ゼディアルーク | グループ会社を複数擁し、IT事業を展開する成長企業,経験を活かして、セカンドステップを見出せる【ITエンジニア】 正社員,正社員,
21,株式会社カーテン・じゅうたん王国 | 設立25年黒字◆窓・床の装飾品で日本トップクラス◆遠方応募歓迎,インテリア用品を扱う【総合職(店舗運営スタッフ)】★未経験歓迎 正社員,正社員,
22,株式会社ケアリッツ・アンド・パートナーズ | <ITと介護事業を手がける成長企業>毎年140%以上の増収★残業少,経験1年もOK！【ITエンジニア】★前職給与+30万以上UPの実績多数 正社員,正社員,450万円～1020万円
23,株式会社アルテクス | 残業月20h以下／年休125日以上／完全週休2日／家賃補助5割,選択肢は∞？どんなキャリアも歩める【ITエンジニア】未経験OK 正社員,正社員,350万円～800万円
24,株式会社ピーエスクリエイティブ | 【創業23年／コロナ禍でも安定して増収増益】★複数名採用,【ITエンジニア】★前給保証＋年収UP ★テレワーク可 ★面接1回 正社員,正社員,400万円～1000万円
25,株式会社置田鉄工所 | 【マイナビ転職初掲載】岡山限定採用で…大手水準の環境をGET！,【 製造スタッフ 】★4日働いて2日休み！？実質年休133日以上★ 正社員,正社員,300万円～500万円
26,株式会社オリエント総業 | 完全週休2日制｜各種福利厚生・手当充実｜有給取得率80％以上,グラビア印刷機の【総合職(電気エンジニア・組立エンジニア)】 正社員,正社員,380万円～540万円
27,"株式会社カプコン | （CAPCOM CO., LTD.）【東証一部上場】",ゲーム開発に携わる【バックエンドエンジニア】 正社員,正社員,500万円～1000万円
28,マミヤ・コスモシステム株式会社 | 【業界のパイオニア】年休120日以上／育成枠採用です,未経験から専門商社で活躍！【総合職(営業職・技術職)】 正社員,正社員,
29,株式会社マイナビワークス | 【マイナビグループ】「マイナビクリエイター」等を運営,マイナビクリエイターの【人材系総合職（CA／RA）】※未経験OK 正社員,正社員,300万円～500万円
30,株式会社アイフリークモバイル | JASDAQ上場企業 年間休日125日／時短勤務・リモートワークも可能,新規PJ【ITエンジニア】３D・VR・UnrealEngine　未経験歓迎！ 正社員,正社員,350万円～1000万円
31,ケイレックス・テクノロジー株式会社 | ◆モノづくりを最新技術で効率化　◆長期のキャリア形成を描ける,経験1年以上なら歓迎◆プライム案件&自社内開発中心【PG・SE】 正社員,正社員,400万円～700万円
32,ネット株式会社 | 大阪府緊急雇用対策に賛同！☆年休120日／テレワーク可／賞与2回,アイデアを活かして自由に！【パチスロ機のソフトウエア開発】 正社員,正社員,
33,株式会社ウエスタンカンパニー | ★男性の育休取得実績あり／完全土日休み／前職給与考慮★,【ITエンジニア】★リモートワークに対応！自社開発実績多数 正社員,正社員,350万円～550万円
34,ネット株式会社 | 大阪府緊急雇用対策に賛同！☆年休120日／テレワーク可／賞与2回,機種の企画～リリースまで携われる！【パチスロ機のプランナー】 正社員,正社員,
35,株式会社山由製作所 | 新しい価値づくりのパートナーとして、成長を続けています！,大手食品メーカーをものづくりで支える【設計職】※未経験歓迎 正社員,正社員,250万円～380万円
36,株式会社エルアイシー | 【地域貢献をビジョンに掲げる総合不動産会社】★テレワーク可,基幹システムをイチから開発する【社内SE（プログラマー）】 正社員,正社員,500万円～800万円
37,株式会社アクティブ・ソリューション | 【設立以来、毎年売上UP！】国交省推奨「i-Construction」を推進,建築業界のICT化に貢献！【プログラマー】★リモートワークOK 正社員,正社員,370万円～470万円
38,ACJ株式会社 | ★完全土日祝休み ★残業月15~20h ★有給休暇取得100%の社員も,未経験からスタート！【ITエンジニア】★前給保証★年休125日 正社員,正社員,300万円～650万円
39,株式会社クリエイテラ | 【コロナ禍でも過去最高益のアプリ開発専門会社】原則定時退社！,自社内開発100％！スマホアプリ開発の【プログラマー】 正社員,正社員,350万円～800万円
40,株式会社コナミデジタルエンタテインメント | KONAMI／自社開発ならではの魅力あるゲームコンテンツを世界へ,【ゲームプランナー（企画／運営／シナリオ）】★有名IP多数 正社員,正社員,
41,株式会社システムズアプローチ | ★定着率90％★設立以来ずっと社員ファーストを貫いています！,【ITエンジニア】★前職給与保証★転職者全員が年収アップ実現！ 正社員,正社員,400万円～600万円
42,株式会社メテオライズ | ★7期連続黒字収支 ★完全週休2日（土日祝）・育休実績あり,人気作の【開発エンジニア（クライアント/サーバー/インフラ）】 正社員,正社員,324万円～750万円
43,"株式会社カプコン | （CAPCOM CO., LTD.）【東証一部上場】",世界に展開するゲーム開発に携わる！【デザイナー】 正社員,正社員,350万円～750万円
44,株式会社コーエーテクモゲームス | 東証一部上場★コーエーテクモグループ,【ゲームエンジニア】無双シリーズ・仁王2など人気ゲーム多数！ 正社員,正社員,450万円～800万円
45,株式会社コーエーテクモゲームス | 東証一部上場★コーエーテクモグループ,【ITエンジニア】信長の野望・三國志など人気ゲーム多数 正社員,正社員,450万円～800万円
46,株式会社アルファクス・フード・システム | 【JASDAQ上場＆業界シェアNO.1】※大阪府緊急雇用対策に賛同,上場企業で活躍！【総合職(営業/導入サポート)】※年休120日以上 正社員,正社員,300万円～500万円
47,ジーエムラボ株式会社 | 【自社ソフトが全国で実績多数！】地球・人類の未来を考える企業,【PG/SE/WEBデザイナー】経験者優遇！環境問題を自社技術で解決 正社員,正社員,300万円～800万円
48,株式会社OMY | インフルエンサービジネスを活用した広告代理店★正社員登用あり,Instagramを中心にしたSNS広告の【総合職(営業・プランナー)】 契約社員,契約社員,300万円～600万円
49,株式会社エクストリーム | ゲーム会社などエンターテイメント系企業多数！,コンシューマからソーシャルまで幅広く！【ゲームプログラマー】 正社員,正社員,300万円～550万円
50,株式会社ブレイン・ゲート | 転勤なし／年間休日125日／原則定時退社／福利厚生が充実,【SE・PG】前職給与保証！さらにスキルに応じて給与UPも可能！ 正社員,正社員,390万円～650万円
51,株式会社エクストリーム | ゲーム会社などエンターテイメント系企業多数！,ゲーム業界へのキャリアチェンジも可能！【IT系プログラマー】 正社員,正社員,300万円～550万円
52,株式会社 アート・ワーク | 《教育業界に特化》 情報処理システムの設計・開発・構築・運用,経験者・未経験者歓迎！【システムエンジニア】※完全週休2日制 正社員,正社員,300万円～450万円
53,株式会社日本ブレーン | 「5/29(土) マイナビ転職EXPO東京@新宿エルタワー」に出展！,【ITエンジニア】★残業月20h程/完全週休2日(土日)/定着率9割超 正社員,正社員,400万円～800万円
54,エイチ・エス債権回収株式会社 | <澤田ホールディングス(JASDAQ上場)グループ>★年休120日~,自社システム【社内SE・プログラマー】★土日祝休★完全週休2日 正社員,正社員,
55,大栄工業株式会社 | ◎転勤なし ◎資格取得支援制度あり ◎賞与年2回 ◎長期休暇あり,プラスチック製品の【製造エンジニア(設計開発/製造技術)】 正社員,正社員,
56,システック株式会社 | 【大阪府緊急雇用対策に賛同】年休124日／「江坂駅」から徒歩1分,自社内開発案件からスタートできる【ITエンジニア】※残業少なめ 正社員,正社員,300万円～500万円
57,アイスマン株式会社 | 世界に通用する製氷機メーカーのパイオニア｜年間休日120日以上,産業用製氷機の【設計開発職(電気回路・制御プログラム・機械)】 正社員,正社員,
58,株式会社マジオネット熱海 | 未経験×中途入社90％＊勤務時間に勉強できて資格が取れる!?,面接1回！スピード入社OK/未経験から月給20万以上【教習指導員】 契約社員,契約社員,250万円～350万円
59,ネットライフシステム株式会社 | 【2021年6月26日(土)マイナビ転職フェア 熊本に出展！】,【総合職(オフィスコンサル/保守メンテ/プログラマー/事務)】 正社員,正社員,350万円～700万円
